name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
Tiguan,https://www.cars24.com.au/buy-used-volkswagen-tiguan-car-20037762139712/,20490,"140,001 - 160,000",Automatic,Petrol,SUV,20251118,cars24,2019,Volkswagen
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-cross-car-19776404245120/,31990,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2023,Toyota
X-trail,https://www.cars24.com.au/buy-used-nissan-x-trail-car-19812602610560/,25390,"20,001 - 40,000",Automatic,Petrol,SUV,20251118,cars24,2021,Nissan
Endura,https://www.cars24.com.au/buy-used-ford-endura-car-18769228040896/,21490,"80,001 - 100,000",Automatic,Diesel,SUV,20251118,cars24,2018,Ford
Qashqai,https://www.cars24.com.au/buy-used-nissan-qashqai-car-19743173168064/,22890,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2020,Nissan
Forester,https://www.cars24.com.au/buy-used-subaru-forester-car-20028575433728/,27590,"80,001 - 100,000",Automatic,Petrol,SUV,20251118,cars24,2020,Subaru
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19981648919360/,27490,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2022,Toyota
ASX,https://www.cars24.com.au/buy-used-mitsubishi-asx-car-19550188606464/,21090,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2020,Mitsubishi
RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-19732144498944/,37690,"40,001 - 60,000",Automatic,Hybrid,SUV,20251118,cars24,2020,Toyota
Yaris,https://www.cars24.com.au/buy-used-toyota-yaris-cross-car-19572259359424/,29190,"40,001 - 60,000",Automatic,Hybrid,SUV,20251118,cars24,2022,Toyota
Forester,https://www.cars24.com.au/buy-used-subaru-forester-car-18522906531136/,21890,"100,001 - 120,000",Automatic,Petrol,SUV,20251118,cars24,2018,Subaru
Zst,https://www.cars24.com.au/buy-used-mg-zst-car-19620150222848/,18090,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2021,MG
CX-5,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19484493231040/,28690,"80,001 - 100,000",Automatic,Petrol,SUV,20251118,cars24,2019,Mazda
HS,https://www.cars24.com.au/buy-used-mg-hs-car-19484710155392/,17790,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2022,MG
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19223688840128/,26990,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2022,Toyota
Sportage,https://www.cars24.com.au/buy-used-kia-sportage-car-19978993924096/,19490,"100,001 - 120,000",Automatic,Diesel,SUV,20251118,cars24,2016,Kia
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19981841989504/,34890,"40,001 - 60,000",Automatic,Hybrid,SUV,20251118,cars24,2023,Toyota
ASX,https://www.cars24.com.au/buy-used-mitsubishi-asx-car-19497020953856/,22290,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2020,Mitsubishi
Sportage,https://www.cars24.com.au/buy-used-kia-sportage-car-19561370620672/,42290,"20,001 - 40,000",Automatic,Diesel,SUV,20251118,cars24,2022,Kia
RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-19811166454336/,32790,"60,001 - 80,000",Automatic,Hybrid,SUV,20251118,cars24,2019,Toyota
CX-9,https://www.cars24.com.au/buy-used-mazda-cx-9-car-19620348551616/,26090,"100,001 - 120,000",Automatic,Petrol,SUV,20251118,cars24,2017,Mazda
RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-19959985207360/,35090,"20,001 - 40,000",Automatic,Petrol,SUV,20251118,cars24,2021,Toyota
