name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,year_made,brand
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19414680310400/,17490,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251107,2019,Volkswagen
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-19458743743296/,13490,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2018,Volkswagen
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19715401371456/,28090,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251107,2021,Kia
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-18511273944448/,21395,"60,001 - 80,000",Manual,Petrol,Hatchback,20251107,2021,Hyundai
3,https://www.cars24.com.au/buy-used-mazda-3-car-18518984987584/,15490,"0 - 20,000",Automatic,Petrol,Hatchback,20251107,2017,Mazda
Prius-c,https://www.cars24.com.au/buy-used-toyota-prius-c-car-19323566440640/,19090,"20,001 - 40,000",Automatic,Hybrid,Hatchback,20251107,2017,Toyota
Mg4,https://www.cars24.com.au/buy-used-mg-mg4-car-19561486096000/,28390,"140,001 - 160,000",Automatic,Electric,Hatchback,20251107,2023,MG
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19240737480384/,26290,"0 - 20,000",Automatic,Petrol,Hatchback,20251107,2019,Volkswagen
Puma,https://www.cars24.com.au/buy-used-ford-puma-car-18824554833600/,23090,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251107,2022,Ford
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19244276161088/,21790,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251107,2017,Hyundai
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-19240498168576/,18990,"0 - 20,000",Automatic,Petrol,Hatchback,20251107,2021,Volkswagen
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19337481175168/,19190,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251107,2019,Kia
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19390205194560/,33590,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2023,Hyundai
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19179883896384/,21990,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251107,2019,Toyota
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19631890359744/,26190,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2020,Volkswagen
2,https://www.cars24.com.au/buy-used-mazda-2-car-19797753245056/,23290,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2024,Mazda
,https://www.cars24.com.au/buy-used-toyota-corolla-car-19413882930816/,18190,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2016,Toyota
1,https://www.cars24.com.au/buy-used-bmw-1-car-16825346466752/,39199,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251107,2021,BMW
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18371663519808/,26190,"40,001 - 60,000",Manual,Petrol,Hatchback,20251107,2016,Volkswagen
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18121809715904/,15695,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2018,Volkswagen
,https://www.cars24.com.au/buy-used-mazda-3-car-18749484931776/,20890,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2017,Mazda
Jazz,https://www.cars24.com.au/buy-used-honda-jazz-car-19165594350592/,12590,"20,001 - 40,000",Manual,Petrol,Hatchback,20251107,2017,Honda
Mg3 Auto,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19075155957632/,15390,"40,001 - 60,000",Automatic,Petrol,Hatchback,20251107,2023,MG
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19434319524800/,18790,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251107,2018,Kia
Mg3 Auto,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19176806876736/,16390,"0 - 20,000",Automatic,Petrol,Hatchback,20251107,2023,MG
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19164625204032/,27790,"40,001 - 60,000",Automatic,Hybrid,Hatchback,20251107,2022,Toyota
